,year,title,speaker
188,1991,第十回自由民主党軽井沢セミナーにおける講演，転換期の世界情勢と日本の課題（海部内閣総理大臣）,海部俊樹
189,1991,北京における海部俊樹内閣総理大臣演説「新しい世界と日中関係」,海部俊樹
190,1991,オチルバト・モンゴル大統領主催歓迎宴における海部内閣総理大臣の挨拶,海部俊樹
191,1991,伊東における講演，公正で心豊かな社会の構築を理念に（海部内閣総理大臣）,海部俊樹
192,1991,全国婦人議員政策研究会における海部内閣総理大臣の講演,海部俊樹
193,1991,総辞職に当たって（海部内閣総理大臣）,海部俊樹
194,1991,総理大臣就任に当たって（宮澤内閣総理大臣）,宮澤喜一
195,1991,真珠湾攻撃五十周年における宮澤内閣総理大臣の所感,宮澤喜一
196,1991,内外情勢調査会における宮澤内閣総理大臣の講演,宮澤喜一
197,1992,宮澤喜一内閣総理大臣の大韓民国訪問における政策演説（アジアのなか、世界のなかの日韓関係）,宮澤喜一
198,1992,国連安保理首脳会合における宮澤喜一内閣総理大臣演説,宮澤喜一
199,1992,国連環境開発会議（ＵＮＣＥＤ）における宮澤喜一内閣総理大臣演説,宮澤喜一
200,1992,国際連合平和維持活動等に対する協力に関する法律及び国際緊急援助隊の派遣に関する法律の一部を改正する法律成立に際しての宮澤内閣総理大臣の談話,宮澤喜一
201,1992,ラオ・インド首相歓迎晩餐会における宮澤内閣総理大臣の挨拶,宮澤喜一
202,1992,ナショナル・プレス・クラブにおける宮澤喜一内閣総理大臣スピーチ,宮澤喜一
203,1992,日本記者クラブにおける講演，国政の諸課題について（宮澤内閣総理大臣）,宮澤喜一
204,1992,自由民主党軽井沢セミナーにおける宮澤内閣総理大臣の講演,宮澤喜一
205,1992,第十六回自民党全国研修会における宮澤内閣総理大臣の挨拶,宮澤喜一
206,1992,内外情勢調査会における宮澤内閣総理大臣の講演,宮澤喜一
207,1992,戦略国際問題研究所国際評議員会合における宮澤喜一内閣総理大臣の講演「日本の国際的役割—新しい協力関係の枠組の構築を求めて」,宮澤喜一
208,1992,旧ソ連支援東京会議における宮澤喜一内閣総理大臣開会演説,宮澤喜一
209,1993,ＡＳＥＡＮ訪問における宮澤喜一内閣総理大臣政策演説（インドシナ総合開発計画の提唱）,宮澤喜一
210,1993,宮澤内閣総理大臣による国際平和協力本部長としての激励の言葉,宮澤喜一
211,1993,環境基本法案に関する宮澤内閣総理大臣の談話,宮澤喜一
212,1993,カンボジアＰＫＯ問題について（宮澤内閣総理大臣）,宮澤喜一
213,1993,国際平和協力隊員故高田晴行氏合同葬儀における宮澤内閣総理大臣の弔辞,宮澤喜一
214,1993,文民警察官帰国時における宮澤内閣総理大臣の挨拶,宮澤喜一
215,1993,衆議院選挙における宮澤内閣総理大臣の演説,宮澤喜一
216,1993,内閣総辞職に当たっての宮澤内閣総理大臣の談話,宮澤喜一
217,1993,総理大臣就任に当たっての細川内閣総理大臣の談話,細川護熙
218,1993,政治改革法案に関する細川内閣総理大臣の談話,細川護熙
219,1993,第４８回国連総会細川護熙内閣総理大臣一般演説,細川護熙
220,1993,アフリカ開発会議における細川内閣総理大臣の演説（TICAD I）,細川護熙
221,1993,故田中角栄氏に対する細川内閣総理大臣の弔辞,細川護熙
222,1994,政治改革法案成立に関する細川内閣総理大臣の談話,細川護熙
223,1994,米国ジョージタウン大学における細川護熙内閣総理大臣演説,細川護熙
224,1994,ジア・バングラデシュ首相歓迎晩餐会における細川内閣総理大臣の挨拶,細川護熙
225,1994,内外情勢調査会における細川内閣総理大臣の講演,細川護熙
226,1994,内閣総辞職に当たっての細川内閣総理大臣の談話,細川護熙
227,1994,羽田内閣総理大臣談話,羽田孜
228,1994,横浜駅西口における羽田内閣総理大臣の街頭演説,羽田孜
229,1994,日本記者クラブにおける羽田内閣総理大臣の講演,羽田孜
230,1994,日本新聞協会第六十六回総会における羽田内閣総理大臣の挨拶,羽田孜
231,1994,内閣総辞職に当たっての羽田内閣総理大臣の談話,羽田孜
232,1994,村山内閣総理大臣就任に当たっての談話,村山富市
233,1994,東京商工会議所夏期役員懇談会における村山内閣総理大臣の講演,村山富市
234,1994,戦後５０年に向けて村山内閣総理大臣の談話,村山富市
235,1994,戦後５０年に向けて村山内閣総理大臣の談話（韓国語）,村山富市
236,1994,日本社会党第六十一回臨時全国大会における村山内閣総理大臣の挨拶,村山富市
237,1994,陸上自衛隊ルワンダ難民救援先遣隊及び航空自衛隊空輸派遣隊の出発に当たっての村山内閣総理大臣の挨拶,村山富市
239,1994,環境基本計画決定に際しての村山内閣総理大臣の談話,村山富市
240,1995,村山内閣総理大臣による平成七年年頭のあいさつ,村山富市
241,1995,阪神・淡路大震災犠牲者神戸市合同慰霊祭における村山内閣総理大臣の慰霊の言葉,村山富市
242,1995,社会開発サミットにおける村山富市内閣総理大臣演説,村山富市
243,1995,国連軍縮長崎会議における村山内閣総理大臣の演説,村山富市
244,1995,「女性のためのアジア平和国民基金」発足ごあいさつ（村山内閣総理大臣）,村山富市
245,1995,「女性のためのアジア平和国民基金」発足ごあいさつ（村山内閣総理大臣）（韓国語）,村山富市
246,1995,日経連夏期セミナーでの村山内閣総理大臣の講演,村山富市
247,1995,「故福田赳夫」内閣・自由民主党合同葬儀における村山内閣総理大臣の追悼の辞,村山富市
248,1995,村山総理発エリツィン大統領宛口頭メッセージ,村山富市
249,1995,国連５０周年記念総会特別会合における村山富市内閣総理大臣演説,村山富市
250,1995,第７回ＡＰＥＣ閣僚会議記念シンポジウムにおける村山内閣総理大臣の基調演説,村山富市
251,1995,オウム真理教に対する破壊活動防止法の適用に関する村山内閣総理大臣の談話,村山富市
252,1995,水俣病問題の解決に当たっての村山内閣総理大臣の談話,村山富市
253,1996,内閣総辞職に当たっての村山内閣総理大臣の談話,村山富市
254,1996,内閣総理大臣就任（第一次）に当たっての談話（橋本龍太郎）,橋本龍太郎
255,1996,阪神・淡路大震災犠牲者追悼式典における追悼の辞（橋本内閣総理大臣）,橋本龍太郎
256,1996,ブットー・パキスタン首相歓迎晩餐会における橋本内閣総理大臣の挨拶,橋本龍太郎
257,1996,橋本総理発エリツィン大統領宛口頭メッセージ,橋本龍太郎
258,1996,党女性リーダー育成研修会における講演（橋本龍太郎）,橋本龍太郎
259,1996,日本記者クラブにおける橋本内閣総理大臣の講演,橋本龍太郎
260,1996,沖縄コンベンションセンターにおける橋本内閣総理大臣の講演,橋本龍太郎
261,1996,「包括的核実験禁止条約」の署名についてのコメント（橋本内閣総理大臣）,橋本龍太郎
262,1996,外交問題評議会における橋本龍太郎総理大臣の政策演説「これからの日本と世界における日米協力」,橋本龍太郎
263,1996,内外情勢調査会年次大会における橋本内閣総理大臣の講演−変革の時代と日本,橋本龍太郎
264,1996,経済同友会における橋本内閣総理大臣の講演,橋本龍太郎
265,1996,東アジア社会保障担当閣僚会議における橋本内閣総理大臣の基調演説,橋本龍太郎
266,1997,シンガポール・レクチャーにおける橋本総理大臣演説，日本とＡＳＥＡＮの新時代への革命−より広くより深いパートナーシップ,橋本龍太郎
267,1997,●｛登におおざと／トウ｝小平死去についての橋本総理大臣談話,橋本龍太郎
268,1997,日本国憲法施行五十周年に当たっての談話（橋本内閣総理大臣）,橋本龍太郎
269,1997,国連環境開発特別総会での橋本総理大臣演説,橋本龍太郎
270,1997,総理と話そうマルチメディア教室（橋本龍太郎）,橋本龍太郎
271,1997,経済同友会（会員懇談会）における橋本総理大臣演説，「今後の我が国の外交政策のあり方−対露外交を中心に−」,橋本龍太郎
272,1997,ＰＫＯゴラン高原派遣隊員の出発に際しての挨拶（橋本内閣総理大臣）,橋本龍太郎
273,1997,日本青年会議所沖縄地区協議会における橋本内閣総理大臣の講演,橋本龍太郎
274,1997,読売国際経済懇話会における橋本総理大臣演説，新たな対中外交を目指して,橋本龍太郎
275,1997,中華人民共和国行政院における橋本総理大臣演説，新時代の日中関係—対話と協力の新たな発展,橋本龍太郎
276,1997,男女共同参画社会づくりに向けての全国会議における挨拶（橋本内閣総理大臣）,橋本龍太郎
277,1997,日本及び南太平洋フォーラム首脳会議における橋本総理大臣演説,橋本龍太郎
278,1997,沖縄復帰二十五周年記念式典における式辞（橋本龍太郎）,橋本龍太郎
279,1997,国連気候変動枠組条約第三回締約国会議の合意に関する談話（橋本内閣総理大臣）,橋本龍太郎
280,1998,日本経済新聞社主宰・第４回国際交流会議，「アジアの未来」における橋本総理大臣挨拶,橋本龍太郎
281,1998,内閣総辞職に当たっての談話（橋本龍太郎）,橋本龍太郎
282,1998,第五十三回国連総会における一般討論演説‐副題「平和と開発、そのための改革」‐,橋本龍太郎
283,1998,第2回アフリカ開発会議（TICAD II）開会式における小渕総理大臣基調演説,小渕恵三
284,1998,小渕内閣総理大臣の内外情勢調査会講演「当面の課題」,小渕恵三
285,1998,「アジアの明日を創る知的対話」における小渕内閣総理大臣演説,小渕恵三
286,1998,ベトナム国際関係学院での小渕首相政策演説，アジアの明るい未来の創造に向けて,小渕恵三
287,1998,米国等による対イラク武力行使に関する小渕内閣総理大臣コメント,小渕恵三
288,1998,米の関税化特別措置に関する小渕内閣総理大臣コメント,小渕恵三
289,1999,フランス企業運動（ＭＥＤＥＦ）主催昼食会における小渕内閣総理大臣挨拶,小渕恵三
290,1999,高麗大学における小渕内閣総理大臣演説　新世紀の日韓関係‐新たな歴史の創造‐,小渕恵三
291,1999,ナランツァツラルト・モンゴル首相主催晩餐会における小渕内閣総理大臣挨拶,小渕恵三
292,1999,「二十一世紀日本の構想」懇談会全体合宿における小渕内閣総理大臣スピーチ,小渕恵三
293,1999,コンピュータ西暦二〇〇〇年問題に関する顧問会議における小渕内閣総理大臣挨拶,小渕恵三
294,1999,（財）日本国際問題研究所創立四十周年記念シンポジウムにおける小渕内閣総理大臣の基調講演,小渕恵三
295,2000,小渕内閣総理大臣発言「Ｙ２Ｋによる我が国への影響について」,小渕恵三
296,2000,対人地雷廃棄公開式典における小渕内閣総理大臣の挨拶,小渕恵三
297,2000,ＵＮＣＴＡＤ第十回総会における小渕内閣総理大臣スピーチ,小渕恵三
298,2000,太平洋・島サミットにおける森総理大臣基調演説‐私たちのフロンティアへの旅立ち‐,森喜朗
299,2000,クリシュナ・カルナタカ州首相主催会合における森総理大臣のＩＴ演説「２１世紀における日印ＩＴ協力に向けて」,森喜朗
300,2000,森総理大臣のインド商工会議所連盟における演説「２１世紀における日印グローバル・パートナーシップの構築」,森喜朗
301,2000,国連ミレニアム・サミットにおける森総理大臣演説,森喜朗
302,2001,森総理大臣によるアフリカ政策スピーチ「新世紀のアフリカと日本」,森喜朗
303,2001,ダボス会議における森総理大臣のスピーチ「日本と地球の将来を形作る」,森喜朗
304,2001,ビレンドラ・ネパール国王王妃両陛下の逝去に関する小泉総理大臣の談話,小泉純一郎
305,2001,小泉内閣総理大臣の談話［靖国神社参拝］,小泉純一郎
306,2001,小泉内閣総理大臣声明［米国における同時多発テロ事件］,小泉純一郎
307,2001,米国テロ被害者追悼・お見舞いの会における内閣総理大臣挨拶,小泉純一郎
